ticker,fiscal_year,total_current_assets,total_assets,st_debt,total_current_liabilities,lt_debt,total_liabilities,retained_earnings
AAWW,2010,727432000,1936102000,96197000,269043000,391036000,886012000,572666000
AAWW,2011,393837000,2390998000,70007000,272657000,680009000,1249623000,668749000
AAWW,2012,632995000,3152685000,154760000,328016000,1149282000,1864581000,798676000
AAWW,2013,593953000,3718259000,157486000,417145000,1539139000,2396134000,892513000
AAWW,2014,565181000,4007277000,181193000,475651000,1736747000,2589482000,999270000
AAWW,2015,651937000,4164403000,161811000,548227000,1739496000,2710220000,1006556000
AAWW,2016,358070000,4247379000,184748000,565178000,1666663000,2730041000,1048072000
AAWW,2017,587586000,4955462000,218013000,738596000,2008986000,3165606000,1271545000
AAWW,2018,629831000,5534792000,264835000,817733000,2205005000,3466828000,1539956000
AAXN,2010,82326195,136186935,,11947994,,18622694,35185191
AAXN,2011,61732423,104962751,,15887897,,22507197,28145325
AAXN,2012,79053000,116236000,,18109000,103000,28951000,42883000
AAXN,2013,97467000,148382000,,23129000,67000,40035000,61127000
AAXN,2014,134642000,185368000,,31973000,29000,56262000,81045000
AAXN,2015,161409000,229881000,,38140000,,72877000,100978000
AAXN,2016,177231000,278163000,,78039000,2289000,127275000,118275000
AAXN,2017,205192000,338112000,,107950000,1224000,170668000,123185000
AAXN,2018,558155000,719540000,,166011000,5704000,252216000,171383000
AB,2015,,1576120000,,274000,,274000,
AB,2016,,1540508000,,619000,,619000,
AB,2017,,1544704000,,1154000,,1154000,
AB,2018,,1490701000,,644000,,644000,
ABAX,2010,124064000,188260000,1031000,16522000,937000,19612000,36606000
ABAX,2011,127397000,181836000,1245000,17431000,1384000,22051000,49697000
ABAX,2012,152963000,201763000,995000,20019000,1071000,25569000,55133000
ABAX,2013,165812000,217380000,1047000,17259000,1402000,23464000,69318000
ABAX,2014,209861000,269064000,1423000,41285000,2213000,48870000,87643000
ABAX,2015,212198000,271380000,1281000,29172000,2306000,35068000,109303000
ABAX,2016,233178000,305646000,1663000,33443000,2973000,39422000,130304000
ABAX,2017,264248000,341103000,2253000,43880000,3214000,50410000,143870000
ABBV,2012,15354000000,27008000000,1042000000,6776000000,14630000000,27358000000,
ABBV,2013,17848000000,29198000000,431000000,6879000000,14292000000,24706000000,1567000000
ABBV,2014,16081000000,27513000000,4439000000,11393000000,10538000000,25771000000,535000000
ABBV,2015,16314000000,53050000000,2431000000,10894000000,29240000000,49105000000,2248000000
ABBV,2016,16187000000,66099000000,402000000,9781000000,36440000000,61463000000,4378000000
ABBV,2017,21223000000,70786000000,6415000000,16641000000,30953000000,65689000000,5459000000
ABBV,2018,16945000000,59352000000,5308000000,17239000000,35002000000,67798000000,3368000000
ABC,2008,8669761000,12217786000,1719000,8167589000,1187412000,9507741000,2479078000
ABC,2009,9953753000,13572740000,1068000,9479610000,1176933000,10856271000,2919760000
ABC,2010,10748350000,14434843000,422000,9906344000,1343158000,11480546000,3465886000
ABC,2011,11375041000,14982671000,392089000,10875264000,972863000,12115813000,4055664000
ABC,2012,11058464000,15442256000,,11265586000,1395931000,12987414000,1270423000
ABC,2013,14393651000,18918638000,,14870635000,1396606000,16598893000,1508414000
ABC,2014,16800205000,21532183000,,17250160000,1995632000,19575284000,1570429000
ABC,2015,20334488000,27962982000,0,21578227000,3739225000,27346596000,1164489000
ABC,2016,22851847000,33637501000,610210000,25280369000,3852484000,31508097000,2303941000
ABC,2017,24303299000,35316470000,12121000,26818165000,3781569000,33252009000,2395218000
ABC,2018,25894372000,37669838000,151657000,27869687000,4510828000,34619877000,3720582000
ABC,2019,28132054000,39171980000,139012000,29581294000,4354398000,36178774000,4235491000
ABCD,2010,76177000,383062000,1658000,66774000,163167000,259050000,-135218000
ABCD,2011,109921000,369680000,826000,64037000,186459000,279610000,-184659000
ABCD,2012,109230000,230459000,1290000,78400000,177342000,276504000,-318442000
ABCD,2013,101197000,216210000,995000,81107000,176510000,279400000,-332695000
ABCD,2014,63541000,169217000,1076000,81908000,138317000,244272000,-342650000
ABCD,2015,39225000,141385000,3850000,94174000,97872000,215554000,-343975000
ABCD,2016,33395000,131940000,7350000,104560000,67130000,193202000,-333545000
ABCD,2017,35966000,158554000,5958000,107380000,41841000,172846000,-288490000
ABG,2010,876800000,1486300000,8900000,635800000,534900000,1199200000,-95700000
ABG,2011,792500000,1419400000,19500000,636300000,439100000,1092800000,-27800000
ABG,2012,986400000,1661400000,4600000,779800000,461400000,1258600000,54400000
ABG,2013,1108600000,1888600000,11100000,834200000,543300000,1398000000,163500000
ABG,2014,1275400000,2182000000,27400000,1039800000,670000000,1737100000,275100000
ABG,2015,1331200000,2294100000,13900000,1007800000,940400000,1979600000,444300000
ABG,2016,1332400000,2336100000,14000000,1104900000,912700000,2056400000,611500000
ABG,2017,1302100000,2356700000,12900000,1058200000,862600000,1962500000,750300000
ABG,2018,1553000000,2695400000,38800000,1303300000,866500000,2222200000,922700000
ABM,2009,620997000,1521153000,,342694000,172500000,834103000,512476000
ABM,2010,608756000,1548670000,,333851000,140500000,809645000,547944000
ABM,2011,733757000,1879598000,,443196000,300000000,1083712000,586625000
ABM,2012,749334000,1851158000,,455817000,215000000,1000760000,617372000
ABM,2013,864600000,2119200000,,508500000,314900000,1201700000,656800000
ABM,2014,927200000,2192900000,,526400000,319800000,1224100000,696900000
ABM,2015,894000000,2130700000,,568200000,158000000,1123200000,736500000
ABM,2016,991300000,2278800000,0,596800000,268300000,1304800000,756400000
ABM,2017,1235500000,3812600000,16900000,757800000,1161300000,2436900000,720100000
ABM,2018,1171000000,3627500000,37000000,792400000,902000000,2172800000,771200000
ABMC,2010,4505000,6015000,130000,1604000,1480000,3358000,-16888000
ABMC,2011,4276000,5636000,872000,2391000,608000,3266000,-17233000
ABMC,2012,3520000,4779000,1404000,3146000,,3415000,-18344000
ABMC,2013,3739000,4966000,1226000,3357000,0,3628000,-19132000
ABMC,2014,3016000,4078000,858000,2703000,213000,3108000,-19622000
ABMC,2015,2616000,3686000,75000,1729000,834000,2725000,-19955000
ABMC,2016,2386000,3371000,75000,1593000,753000,2346000,-20300000
ABMC,2017,1954000,2891000,87000,1477000,772000,2268000,-20845000
ABMC,2018,1613000,2475000,237000,1825000,,2621000,-21873000
ABMD,2010,84737000,131588000,,22343000,,26845000,-274770000
ABMD,2011,110539000,153911000,,22415000,,27614000,-273275000
ABMD,2012,116605000,169999000,,27056000,,32919000,-258261000
ABMD,2013,117966000,205407000,,30411000,,37054000,-250910000
ABMD,2014,185039000,338367000,,39319000,,46807000,-137222000
ABMD,2015,288392000,423931000,,46541000,,55156000,-99075000
ABMD,2016,326958000,550414000,799000,69617000,15539000,98343000,-46959000
ABMD,2017,494271000,786375000,,84682000,,96851000,140457000
ABMD,2018,677197000,1054346000,,105998000,,117456000,399473000
ABT,2007,14042733000,39713924000,2725915000,9103278000,9487789000,21889979000,10805809000
ABT,2008,17042559000,42419204000,2731975000,11591908000,8713327000,24900513000,13825383000
ABT,2009,23313891000,52581623000,5189620000,13049489000,11266294000,29394227000,17342694000
ABT,2010,22317529000,60573852000,6394766000,17262434000,12523517000,37808721000,19215768000
ABT,2011,23768774000,60276893000,3374755000,15480228000,12039822000,35750748000,20907362000
ABT,2012,31323000000,67235000000,2391000000,13280000000,18085000000,40422000000,24151000000
ABT,2013,19247000000,42953000000,3173000000,9507000000,3388000000,17686000000,21979000000
ABT,2014,13556000000,41207000000,4437000000,10467000000,3393000000,19568000000,22874000000
ABT,2015,14155000000,41247000000,3130000000,9186000000,5871000000,19921000000,25757000000
ABT,2016,26776000000,52666000000,1325000000,6660000000,20681000000,31949000000,25565000000
ABT,2017,20147000000,76250000000,714000000,8912000000,27210000000,45152000000,23978000000
ABT,2018,14632000000,67173000000,207000000,9012000000,19359000000,36451000000,24560000000
AC,2014,585079000,754694000,,102131000,0,102131000,0
AC,2015,274613000,836748000,,78332000,-250000000,-171668000,2072000
AC,2016,337988000,952603000,,74351000,-100000000,-25649000,7327000
AC,2017,349598000,1006915000,,42538000,-50000000,-7462000,13800000
AC,2018,439896000,954433000,,38385000,,38385000,-39889000
ACA,2017,428800000,1602500000,100000,174100000,400000,194600000,0
ACA,2018,667000000,2172200000,1800000,234200000,183700000,487700000,19500000
ACAD,2010,37849000,38394000,78000,5959000,,8706000,-324106000
ACAD,2011,31949000,32114000,32000,6165000,,8752000,-346871000
ACAD,2012,108548000,108590000,,5948000,,23606000,-367720000
ACAD,2013,188360000,189118000,,6979000,,6987000,-405668000
ACAD,2014,324618000,325458000,,15834000,,15969000,-498143000
ACAD,2015,218989000,221896000,,21902000,,22134000,-662586000
ACAD,2016,547897000,561153000,,42585000,,42742000,-933979000
ACAD,2017,373477000,384506000,,49030000,,49221000,-1223671000
ACAD,2018,526106000,540202000,,59565000,,61123000,-1468863000
ACAT,2010,232040000,272906000,,87444000,,89870000,177493000
ACAT,2011,212860000,255416000,,114035000,,116944000,127816000
ACAT,2012,259344000,306145000,,127292000,,131673000,167561000
ACAT,2013,285296000,342294000,,148541000,,157251000,187024000
ACAT,2014,245964000,315411000,,122089000,,135039000,185444000
ACAT,2015,211818000,304701000,,124030000,,137310000,171340000
ACCO,2010,620700000,1149600000,200000,327900000,727400000,1229400000,-1393900000
ACCO,2011,622900000,1116700000,200000,306100000,668800000,1178600000,-1337200000
ACCO,2012,874300000,2507700000,100000,429400000,1070800000,1868500000,-1221800000
ACCO,2013,841700000,2382900000,100000,445100000,920800000,1680600000,-1144700000
ACCO,2014,778800000,2215100000,800000,395400000,787700000,1534100000,-1053100000
ACCO,2015,653600000,1953400000,0,355300000,720500000,1372200000,-967200000
ACCO,2016,670700000,2064500000,4800000,406400000,627700000,1355800000,-871700000
ACCO,2017,829600000,2799100000,43200000,538400000,889200000,2025000000,-739200000
ACCO,2018,880200000,2786400000,39500000,599200000,843000000,1996700000,-656800000
ACET,2011,198615000,311665000,6247000,83186000,48750000,150844000,90713000
ACET,2012,191969000,299280000,6713000,73641000,39052000,131277000,102344000
ACET,2013,218300000,323430000,11714000,89907000,20355000,128790000,118615000
ACET,2014,276354000,467984000,8343000,118523000,97158000,234400000,140768000
ACET,2015,310310000,489774000,10197000,125000000,99960000,235563000,167208000
ACET,2016,350056000,538173000,197000,98906000,118592000,236336000,192199000
ACET,2017,471555000,1038185000,14466000,222805000,339200000,633118000,195680000
ACET,2018,502627000,767024000,14482000,302518000,302916000,671739000,-126737000
ACF,2018,58124000000,1.10E+11,42835000000,49586000000,48153000000,98261000000,4667000000
ACGL,2009,10799452000,15375790000,,8845045000,774065000,11052441000,3605809000
ACGL,2010,10747276000,16279228000,,8877382000,1518768000,11766225000,4422553000
ACGL,2011,11513155000,17105357000,,9508828000,1592583000,12513283000,4796655000
ACGL,2012,11379426000,17816762000,,9545632000,1454274000,12647884000,5354361000
ACGL,2013,12199011000,19566094000,,9861820000,2160413000,13918598000,6042154000
ACGL,2014,12888667000,22006081000,,10051993000,2419645000,14887435000,6854571000
ACGL,2015,12741035000,23138931000,,10413306000,3032156000,16028376000,7332032000
ACGL,2016,16344897000,29372109000,,11845957000,4506751000,20060984000,7996701000
ACGL,2017,17242332000,32051658000,,13092300000,4850926000,21805723000,8562889000
ACGL,2018,16109485000,32218329000,,13128956000,4661428000,21780650000,9426299000
ACHC,2010,16924000,45395000,9984000,18059000,,45395000,
ACHC,2011,112605000,412996000,6750000,40668000,270709000,316631000,-44580000
ACHC,2012,140981000,983413000,7680000,71851000,465638000,550863000,-24177000
ACHC,2013,145126000,1224659000,15195000,114690000,601941000,743949000,18402000
ACHC,2014,274143000,2206955000,26965000,165934000,1052670000,1325990000,101442000
ACHC,2015,294736000,4279208000,45360000,290203000,2195384000,2588125000,213996000
ACHC,2016,427927000,6024726000,34805000,342865000,3253004000,3839248000,220139000
ACHC,2017,471550000,6424502000,34830000,377389000,3205058000,3829214000,428573000
ACHC,2018,450417000,6172504000,34112000,416377000,3159375000,3810391000,252823000
ACIA,2015,103445000,130744000,,48298000,,119474000,8015000
ACIA,2016,462375000,516936000,,80668000,,82141000,138914000
ACIA,2017,447247000,611250000,,85626000,,109200000,177422000
ACIA,2018,454044000,601859000,,83599000,,99132000,182540000
ACLS,2010,228630000,280872000,,68129000,,75305000,-293520000
ACLS,2011,212033000,269245000,,47472000,,54690000,-288443000
ACLS,2012,175225000,222158000,,29782000,,36082000,-322477000
ACLS,2013,184908000,233549000,471000,35460000,14529000,57547000,-339621000
ACLS,2014,185135000,227654000,14530000,52098000,,59302000,-350887000
ACLS,2015,229957000,281784000,,44368000,,98020000,-342705000
ACLS,2016,240729000,302231000,,47731000,,100776000,-331704000
ACLS,2017,339775000,488218000,,79287000,,134608000,-204745000
ACLS,2018,396771000,548441000,,84997000,,140104000,-157260000
ACLZ,2012,948527,1088824,176244,485386,123081,608467,-15843095
ACLZ,2013,2284012,4003671,,1786318,,1786318,-15749319
ACLZ,2014,3084501,4976393,,1408970,2900000,4308970,-19002574
ACLZ,2015,2981023,5062769,0,6845627,0,6845627,-25266612
ACLZ,2016,4357924,7393624,506867,5238271,4588227,11313998,-29118196
ACLZ,2017,3457862,7575914,1224194,7059026,4670926,12792452,-31542684
ACLZ,2018,2413606,2573852,,6861284,,16047027,-42960124
ACM,2009,2214535000,3789881000,29107000,1556739000,142102000,2035476000,414345000
ACM,2010,2946499000,5242909000,16441000,1852260000,914686000,3104440000,651105000
ACM,2011,2990066000,5789328000,17746000,1814446000,1144723000,3394191000,826946000
ACM,2012,3147293000,5664568000,162591000,2078402000,907141000,3440080000,606089000
ACM,2013,3131602000,5665623000,84265000,2053549000,1089060000,3591529000,472155000
ACM,2014,3434113000,6123377000,64413000,2455769000,939565000,3850897000,677181000
ACM,2015,6246085000,14014298000,160411000,4836052000,4446527000,10383355000,522336000
ACM,2016,6000771000,13669936000,366324000,5304756000,3702157000,10117447000,618445000
ACM,2017,6682222000,14396956000,142000000,5578379000,3702109000,10182270000,961640000
ACM,2018,7127322000,14681131000,143051000,6129677000,3483746000,10402757000,948148000
ACM,2019,7534645000,14461591000,117185000,6461754000,3285755000,10562241000,599548000
ACN,2009,8990514000,12255734000,594000,6238959000,361000,8869528000,3947129000
ACN,2010,9563625000,12835253000,143000,6567604000,1445000,9560530000,4634329000
ACN,2011,11471183000,15731510000,4419000,7906589000,0,11380638000,6281517000
ACN,2012,12587931000,16665415000,11000,8109205000,22000,12040987000,7904242000
ACN,2013,11844178000,16867049000,0,8160990000,25600000,11439220000,10069844000
ACN,2014,11904442000,17930452000,330000,8158079000,26403000,11645115000,11758131000
ACN,2015,10700074000,18202647000,1848000,8491006000,25587000,11555076000,13470008000
ACN,2016,11976222000,20609004000,2773000,8878924000,24457000,12419628000,7879960000
ACN,2017,12097289000,22689890000,2907000,9824279000,22163000,12979690000,7081855000
ACN,2018,13585559000,24449083000,5337000,10151751000,19676000,13724495000,7952413000
ACN,2019,15450601000,29789880000,6411000,11061896000,16247000,14962189000,10421538000
ACPW,2010,37199000,39518000,,18117000,,18696000,-253801000
ACPW,2011,31762000,35027000,,18009000,,18735000,-260895000
ACPW,2012,43032000,45799000,,19087000,,19800000,-262817000
ACPW,2013,34556000,37907000,,16860000,,17601000,-271168000
ACPW,2014,33731000,36098000,,16484000,,17305000,-283995000
ACPW,2015,28403000,30595000,,16457000,,17040000,-290454000
ACPW,2016,1675000,1852000,,1670000,,1670000,-306320000
ACRX,2010,5779000,6830000,12009000,13411000,,16781000,-68563000
ACRX,2011,38146000,40835000,3804000,7845000,15275000,23367000,-88664000
ACRX,2012,61766000,64520000,7443000,14331000,8530000,30673000,-122027000
ACRX,2013,104560000,110031000,,6868000,14364000,36872000,-145453000
ACRX,2014,76298000,86416000,6859000,13731000,18015000,39760000,-178806000
ACRX,2015,118947000,127785000,4541000,12780000,16381000,94672000,-203205000
ACRX,2016,89053000,99993000,2912000,10191000,18637000,105330000,-246362000
ACRX,2017,63413000,75552000,7727000,13660000,11369000,112061000,-297870000
ACRX,2018,107994000,120533000,8611000,15928000,3380000,116280000,-345019000
ACT,2009,1769500000,5903500000,307600000,1047900000,1150200000,2880400000,1640100000
ACT,2010,1786700000,5686600000,0,808000000,1016100000,2404000000,1824500000
ACT,2011,2569700000,6698300000,184500000,1839500000,848500000,3135800000,2085400000
ACT,2012,3838300000,14114800000,176200000,2749300000,6257100000,10258400000,2182700000
ACW,2011,240149000,868862000,,128489000,323082000,611479000,-143563000
ACW,2012,162714000,677816000,,106761000,324133000,612943000,-321570000
ACW,2013,149268000,611777000,,89999000,330183000,549893000,-359883000
ACW,2014,149880000,598422000,0,97071000,323234000,567619000,-362190000
ACW,2015,151930000,603619000,10286000,121898000,304254000,532765000,-369824000
ACY,2010,6188700,133011300,,73442400,,90870700,27863000
ACY,2011,6581000,130826000,,72434100,,90135800,26412600
ACY,2012,8758800,152426500,,85126900,,106547300,31601600
ACY,2013,11679700,164634300,,97660600,,118499400,31857300
ACY,2014,10907900,197670500,,148990000,,162829600,20563300
ACY,2015,25766900,181025000,,124329700,,139746500,27000900
ACY,2016,25936300,218736100,,159472200,,176235900,28222600
ACY,2017,41311700,236409900,,180509500,,189043200,35621800
ACY,2018,33063200,217152200,131092200,136524900,31802300,175864300,27540600
ADBE,2008,2735103000,5821598000,,762599000,350000000,1411244000,4913406000
ADBE,2009,2473624000,7282237000,0,844553000,1000000000,2391669000,5299914000
ADBE,2010,3216050000,8141148000,8799000,1068088000,1513662000,2948761000,5980914000
ADBE,2011,3771451000,8991183000,9212000,1250779000,1505096000,3208070000,6528735000
ADBE,2012,4397066000,10040229000,11217000,1271752000,1496938000,3375047000,7003003000
ADBE,2013,4045929000,10380298000,14676000,1525648000,1499297000,3655664000,6928964000
ADBE,2014,4602328000,10785829000,603229000,2494435000,911086000,4009924000,6924294000
ADBE,2015,4821892000,11726472000,,2213556000,1907231000,4724892000,7253431000
ADBE,2016,5839774000,12697246000,,2811635000,1892200000,5272411000,8114517000
ADBE,2017,7247813000,14535556000,,3527457000,1881421000,6075687000,9573870000
ADBE,2018,4857039000,18768682000,,4301126000,4124800000,9406568000,11815597000
ADES,2012,25291000,75749000,559000,49397000,2305000,55886000,-79765000
ADES,2013,55355000,73524000,0,42559000,0,79691000,-112275000
ADES,2014,54429000,93699000,1479000,47157000,14431000,94396000,-110888000
ADES,2015,24715000,60775000,14513000,50092000,13512000,85753000,-141029000
ADES,2016,38908000,107296000,,23711000,,31131000,-43351000
ADES,2017,36888000,82618000,,6878000,,9163000,-15478000
ADES,2018,59776000,159664000,24067000,40719000,50058000,91717000,12914000
ADI,2008,2089577000,3090992000,,569058000,0,670729000,2419908000
ADI,2009,2490636000,3369407000,,386613000,379626000,840258000,2434446000
ADI,2010,3478999000,4328831000,0,643467000,400635000,1129114000,2896566000
ADI,2011,4386348000,5277635000,14500000,525005000,871876000,1482222000,3482334000
ADI,2012,4696185000,5620347000,14500000,525079000,807098000,1454988000,3788869000
ADI,2013,5472425000,6381750000,,570512000,872241000,1642174000,4056401000
ADI,2014,3811886000,6859690000,0,709056000,872789000,2101793000,4231496000
ADI,2015,4079548000,7058777000,374594000,1113585000,495341000,1985818000,4437315000
ADI,2016,4974863000,7970278000,0,782934000,1732177000,2804660000,4785799000
ADI,2017,2351338000,21141294000,300000000,1596332000,7551084000,10979754000,4910939000
ADI,2018,2112126000,20449779000,67000000,1406138000,6265674000,9461239000,5703064000
ADIL,2017,27248,34546,337628,1032099,,1032099,-403992
ADIL,2018,4692550,4699285,,257974,,257974,-12035370
ADM,2009,19408000000,31582000000,404000000,8885000000,7592000000,17929000000,8778000000
ADM,2010,18394000000,31808000000,718000000,8833000000,6830000000,17177000000,10357000000
ADM,2011,27504000000,42193000000,2053000000,13218000000,8266000000,23355000000,11996000000
ADM,2012,29762000000,45136000000,3084000000,16993000000,6456000000,26005000000,13236000000
ADM,2013,28530000000,43752000000,1523000000,15658000000,5347000000,23558000000,14077000000
ADM,2014,26028000000,43997000000,132000000,15602000000,5528000000,24367000000,15701000000
ADM,2015,21829000000,40157000000,98000000,13505000000,5779000000,22242000000,16865000000
ADM,2016,21045000000,39769000000,427000000,13173000000,6504000000,22564000000,17444000000
ADM,2017,19925000000,39963000000,870000000,12570000000,6623000000,21588000000,17552000000
ADM,2018,20588000000,40833000000,690000000,11776000000,7698000000,21788000000,18527000000
ADMA,2018,44529625,88876521,172817,9625046,41434094,69106083,-216437238
ADP,2009,20705500000,25351700000,730000000,18763400000,42700000,20029100000,10716600000
ADP,2010,22316700000,26862200000,,20052200000,39800000,21383300000,11252000000
ADP,2011,28583500000,34238300000,,26786800000,34200000,28227900000,11803900000
ADP,2012,25272600000,30817400000,,23252700000,16800000,24703400000,12438300000
ADP,2013,26214500000,32268100000,0,24732800000,14700000,26078200000,13020300000
ADP,2014,27493000000,32059800000,2173000000,24167600000,11500000,25389600000,13632900000
ADP,2015,28809200000,33110500000,,27113700000,9200000,28302000000,13460300000
ADP,2016,39500400000,43670000000,,35847400000,2007700000,39188400000,14003300000
ADP,2017,32658700000,37180000000,,29815900000,2002400000,33203000000,14728200000
